"","Audio.code","DATE","TIME","WP","Treatment","Track","DIAH","DICDV","HD","VD","H.app.d","V.app.d","Other","double","quank","wurp","rapid","squeak","NA","season","tot.notes","tot.quanks"
"29","10_feb_H2","2/19/22","11:15","1460","High",2,"Y","N",0.373,9,"n/a","n/a","Did not remain vigilant that long but partner came in ",0,0,0,0,0,NA,1,0,0
"30","11_feb_C1","2/19/22","11:25","At one of the feeders (The feeder by the edge near river)","Control",1,"N","N",11.4,2,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
"31","12_feb_H2","2/19/22","11:49","Very first territory walking in to reller (right where we put the table to the left of river)","High",2,"Y","Y",0,4.6,"n/a","n/a","Two wing flicks and remained vigilant for a good amount of time",0,0,0,0,0,NA,1,0,0
"32","13_feb_C1","2/19/22","12:15","1461","Control",1,"N","N",0,10.6,"n/a","n/a","No behavior change",0,8,0,0,49,NA,1,57,8
"33","14_feb_L1","2/21/22","11:38","1462","Low",1,"N","N",0.52,2.8,"n/a","n/a","Stayed in the area wasn’t a clear vertical or horizontal approach but stayed in the area and was semi vigilant",0,0,0,0,0,NA,1,0,0
"34","15_feb_H2","2/21/22","12:17","1463","High",2,"Y","N",0.28,9.6,"n/a","n/a","Didn’t stay vigilant after approach horizontallly but stayed in the vicinity for a bit while foraging ",116,175,0,40,2,NA,1,333,331
"35","16_feb_H1","2/21/22","12:37","1464","High",1,"Y","Y",8,4.55,"n/a","n/a","Stayed vigilant the whole time with partner present during the whole time as well",0,202,0,0,1,NA,1,203,202
"36","17_feb_L3","2/21/22","1:19","1465","Low",3,"Y","N",8.84,7.2,"n/a","n/a","Approached once and looked for a long time ",144,1,87,0,0,NA,1,232,145
"37","18_feb_C3","3/6/22","10:10","1491","Control",3,"N","N",15.2,6.6,"n/a","n/a","No approach or behavior change",270,6,0,17,0,NA,1,293,293
"38","19_feb_L1","3/6/22","10:45","1492","Low",1,"Y","Y",7.6,8.2,"n/a","n/a","Female did not approach but looked and wasn’t vigilant and the male (not the focal bird was vigilant the whole time.female was 11 away and 3.2 up",136,3,58,66,0,NA,1,263,205
"39","20_feb_C1","3/6/22","11:00","1493","Control",1,"N","N",12.3,6.4,"n/a","n/a","",249,1,0,0,0,NA,1,250,250
"40","21_feb_L1","3/6/22","11:41","1494","Low",1,"Y","Y",1.11,3.4,"n/a","n/a","Approached and was vigilant but wasn’t in the vicinity long",73,2,0,22,0,NA,1,97,97
"41","22_feb_H1","3/6/22","12:04","1495","High",1,"Y","Y",0,3.4,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
"42","23_feb_H1","3/6/22","12:34","1496","High",1,"Y","N",1.47,9.6,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
"43","24_feb_C3","3/7/22","10:15","1497","Control",3,"N","N",15,9.4,"n/a","n/a","Foraging but lost it for half the time",0,0,0,0,0,NA,1,0,0
"44","25_feb_L2","3/7/22","10:35","1498","Low",2,"Y","Y",0,4.4,"n/a","n/a","Partner came in",0,0,0,0,0,NA,1,0,0
"45","26_feb_H3","3/7/22","10:48","1499","High",3,"Y","Y",8.2,8.2,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
"46","27_feb_L2","3/7/22","11:06","1511","Low",2,"N","N",8.6,6.6,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
